name,sector,subsector,sourceType,emissionsQuantity,activity,capacity,year,emissions_mt
Puthukudiyiruppu Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.67197,955398.27657,68580.85476,2025,7.67197e-06
Maritimepattu Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.656545,248926.16072,17868.53592,2025,7.656545e-06
Hildummulla Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.27614,74422.84161999999,5342.256,2025,7.27614e-06
Doluwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.242539999999999,46565.16941,3342.563039999999,2025,7.242539999999999e-06
Rambewa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.174059999999999,86280.66573,6193.44,2025,7.174059999999999e-06
Akuressa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,7.141520000000001,35185.283090000004,2525.68656,2025,7.141520000000001e-06
Ella Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,6.68771,107642.8826,7726.872479999999,2025,6.68771e-06
Laggala-Pallegama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,6.553930000000001,81759.00792,5868.863880000001,2025,6.553930000000001e-06
Kotavehera Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,6.1530900000000015,88916.15047000001,6382.62144,2025,6.1530900000000014e-06
Seruvila Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,6.022005,76167.067,5467.46064,2025,6.0220050000000005e-06
Medadumbara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,5.88722,34926.48153,2507.10936,2025,5.88722e-06
Katharagama Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,5.628185000000001,97261.84181,6981.695759999999,2025,5.628185000000001e-06
Verugal Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.87601,62297.25119000001,4471.85076,2025,4.87601e-06
Kirinda-Puhulwella Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.82063,15425.66969,1107.2926800000002,2025,4.8206300000000005e-06
Karuwalagaswewa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.662165,45501.737400000005,3266.227440000001,2025,4.662165e-06
Musali Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.42342,71700.61649,5146.847879999998,2025,4.42342e-06
Delthota Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.38254,23900.20715,1715.6160000000002,2025,4.382539999999999e-06
Hakmana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.381375,14026.37584,1006.848,2025,4.381375e-06
Pachchilaipalli Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.35946,118116.85283999998,8478.71976,2025,4.35946e-06
Pathahewaheta Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.333489999999999,58827.06937999999,4222.752599999999,2025,4.333489999999999e-06
Vavuniya South Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.300295,96062.81352,6895.626359999998,2025,4.300295e-06
Athuraliya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,4.259175000000001,18351.10849,1317.288,2025,4.259175000000001e-06
