id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1320146,Polgahawela Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.31199519003745, 'latitude': 7.376771450500172, 'srid': 4326}",co2e_20yr,14208.29134,0.000106521,t of CO2e_20yr per MJ,133385486.5,MJ,15618494.784599999,m^2,8.540226720980788,2024
1320021,Balapitiya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.0527414621514, 'latitude': 6.306989670500116, 'srid': 4326}",co2e_20yr,14190.340995000002,7.818116802946654e-05,t of CO2e_20yr per MJ,181505870.9,MJ,21253051.137480002,m^2,8.540226519708142,2024
1320183,Weligama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.41696782553547, 'latitude': 5.977537084000119, 'srid': 4326}",co2e_20yr,14163.629654999997,7.981612058354597e-05,t of CO2e_20yr per MJ,177453245.67828995,MJ,20778517.204679996,m^2,8.540226616282403,2024
1320136,Kuliyapitiya West Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.06045726509146, 'latitude': 7.478133440500101, 'srid': 4326}",co2e_20yr,14113.38726,8.513644833643158e-05,t of CO2e_20yr per MJ,165773737.8,MJ,19410929.72,m^2,8.540226572122355,2024
1320234,Godakawela Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.64049737464182, 'latitude': 6.51138949450015, 'srid': 4326}",co2e_20yr,13876.113205000001,0.000256479,t of CO2e_20yr per MJ,54102310.16,MJ,6334997.004600002,m^2,8.540226637,2024
1320075,Bandaragama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.9864290670128, 'latitude': 6.723174334500071, 'srid': 4326}",co2e_20yr,13824.199484999997,6.141011771482877e-05,t of CO2e_20yr per MJ,225112733.9,MJ,26359105.24,m^2,8.540226682096622,2024
1320217,Kalpitiya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.7208365000001, 'latitude': 8.1005550000001, 'srid': 4326}",co2e_20yr,13823.49879,0.000101848,t of CO2e_20yr per MJ,135726144.2,MJ,15892569.398759997,m^2,8.540226616813133,2024
1320057,Tangalle Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.80930449458876, 'latitude': 6.054515123000101, 'srid': 4326}",co2e_20yr,13766.347849999998,0.000115131,t of CO2e_20yr per MJ,119570851.16312999,MJ,14000899.237800004,m^2,8.540226533472177,2024
1320147,Polpithigama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.41790242262842, 'latitude': 7.821947814000083, 'srid': 4326}",co2e_20yr,13494.749789999998,0.000113526,t of CO2e_20yr per MJ,118869409.55929998,MJ,13918765.258439995,m^2,8.540226618680885,2024
1320159,Dambulla Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.71717724627368, 'latitude': 7.874920129500083, 'srid': 4326}",co2e_20yr,13466.786849999999,9.106259276713409e-05,t of CO2e_20yr per MJ,147884948.59175998,MJ,17316279.238200005,m^2,8.540226601654892,2024
1320019,Ambalangoda Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.1150089508827, 'latitude': 6.196789980000062, 'srid': 4326}",co2e_20yr,13439.246224999999,8.69665710102299e-05,t of CO2e_20yr per MJ,154533472.67674997,MJ,18094773.974039998,m^2,8.540226747151099,2024
1319992,Uva Paranagama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.94692173367801, 'latitude': 6.984323501500056, 'srid': 4326}",co2e_20yr,13417.51874,9.008821258743073e-05,t of CO2e_20yr per MJ,148937561.9,MJ,17439532.72,m^2,8.540226637258414,2024
1320106,Udunuwara Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.56294305372217, 'latitude': 7.221975326500056, 'srid': 4326}",co2e_20yr,13164.864219999998,0.000102453,t of CO2e_20yr per MJ,128497056.6,MJ,15046094.418480003,m^2,8.540226651646329,2024
1319883,Sainthamarathu Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.81474900125014, 'latitude': 7.4196129610001265, 'srid': 4326}",co2e_20yr,13017.392880000003,7.769959563835185e-05,t of CO2e_20yr per MJ,167534885.77455002,MJ,19617147.260999996,m^2,8.540226748851445,2024
1320058,Thissamaharama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.46376302797125, 'latitude': 6.387778043500134, 'srid': 4326}",co2e_20yr,12639.38157,0.000103232,t of CO2e_20yr per MJ,122436571.37952001,MJ,14336454.654119996,m^2,8.540226599,2024
1319932,N. Palatha East Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.44732313360362, 'latitude': 8.310075283499998, 'srid': 4326}",co2e_20yr,12603.02025,5.2158874543328696e-05,t of CO2e_20yr per MJ,241627534.24693996,MJ,28292871.568679992,m^2,8.540226595960656,2024
1320160,Galewela Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.56331936144447, 'latitude': 7.769010544500132, 'srid': 4326}",co2e_20yr,12576.692869999995,0.000145742,t of CO2e_20yr per MJ,86294429.48,MJ,10104466.007759998,m^2,8.540226609732555,2024
1320144,Panduwasnuwara Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.07985035021363, 'latitude': 7.583921194499994, 'srid': 4326}",co2e_20yr,12522.198104999996,9.15294886969042e-05,t of CO2e_20yr per MJ,136810532.7,MJ,16019543.593800003,m^2,8.540226623,2024
